SPA Эко,5000,4000,3000
32+17,SPA - уход «Принцесса сиама»+Relax массаж Стоун,180,1,10400
34+33,SPA - уход «Мужской комплимент»+SPA - уход «Королевская спа программа»,240,1,12800
12+46,Relax массаж «Тай Оил»+Программы для похудения «Имбирный коктейль»,180,1,11600
31+46,SPA - уход «Бархатное прикосновение»+Программы для похудения «Имбирный коктейль»,180,1,11600
8+26,Массаж с проработкой «Тай + травяные мешочки»+Массаж в 4 руки «Тай в 4 руки»,150,1,12400
10+35,Массаж с проработкой «Спорт-oil»+SPA - уход «Целебные травы»,240,1,12800
1+10+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Восстанавливающий»,180,1,10400
46+19,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Голова»,150,1,10000
32+15,SPA - уход «Принцесса сиама»+Relax массаж Тай Оил + травяные мешочки,180,1,10800
SPA Норм 2,16000,12800,9600
4+6+3,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,10800
1+18+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»,180,1,9600
45+31,Программы для похудения «Талассотерапия»+SPA - уход «Бархатное прикосновение»,180,1,11600
17+46,Relax массаж Стоун+Программы для похудения «Имбирный коктейль»,210,1,12800
19+22+1+5,Программы для лица и головы «Голова»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
25+34,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Мужской комплимент»,180,1,12800
17+23+2,Relax массаж Стоун+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
31+45,SPA - уход «Бархатное прикосновение»+Программы для похудения «Талассотерапия»,180,1,11600
36+18,SPA - уход «Обновление и тонус»+Программы для лица и головы «Лицо»,240,1,12800
6+5+1,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
SPA Норм 2,16000,12800,9600
12+4+1,Relax массаж «Тай Оил»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
4+20+2,Массаж с проработкой «Восстанавливающий»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
46+5,Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Восстанавливающий»,210,1,12400
43+34,Программы для похудения «Слим»+SPA - уход «Мужской комплимент»,180,1,11200
46+17,Программы для похудения «Имбирный коктейль»+Relax массаж Стоун,210,1,12800
34+24,SPA - уход «Мужской комплимент»+Программы для рук и ног «Ноги»,180,1,9600
17+43+1,Relax массаж Стоун+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
33+34,SPA - уход «Королевская спа программа»+SPA - уход «Мужской комплимент»,240,1,12800
6+18+2+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,11600
17+14,Relax массаж Стоун+Relax массаж «Тай Оил»,210,1,11200
1+24+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»,180,1,9600
34+8,SPA - уход «Мужской комплимент»+Массаж с проработкой «Тай + травяные мешочки»,180,1,10000
SPA Норм 2,16000,12800,9600
23+31+2,Программы для рук и ног «Ноги»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
8+45,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Талассотерапия»,180,1,11600
1+34,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Мужской комплимент»,180,1,9600
1+32+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Принцесса сиама»+Массаж с проработкой «Восстанавливающий»,210,1,12000
46+20,Программы для похудения «Имбирный коктейль»+Программы для лица и головы «Лицо и голова»,150,1,10000
44+43,Программы для похудения «Слим и тай ойл»+Программы для похудения «Слим»,150,1,10400
4+34,Массаж с проработкой «Восстанавливающий»+SPA - уход «Мужской комплимент»,180,1,9600
33+1+4,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
22+19+2+5,Программы для рук и ног «Руки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
12+34,Relax массаж «Тай Оил»+SPA - уход «Мужской комплимент»,180,1,10000
45+12,Программы для похудения «Талассотерапия»+Relax массаж «Тай Оил»,180,1,11600
SPA Норм 2,16000,12800,9600
17+9,Relax массаж Стоун+Массаж с проработкой «Тай + травяные мешочки»,180,1,9600
33+32,SPA - уход «Королевская спа программа»+SPA - уход «Принцесса сиама»,210,1,12000
18+31+3,Программы для лица и головы «Лицо»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
10+1+4,Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10400
28+1,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,120,1,10400
32+2,SPA - уход «Принцесса сиама»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
31+19+3,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
28+5,Массаж в 4 руки «Тай Ойл в 4 руки»+Массаж с проработкой «Восстанавливающий»,150,1,11600
8+46,Массаж с проработкой «Тай + травяные мешочки»+Программы для похудения «Имбирный коктейль»,180,1,11600
6+43+3,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,12400
31+22+2,SPA - уход «Бархатное прикосновение»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
SPA Норм 2,16000,12800,9600
10+22+1+4,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12400
18+44+2,Программы для лица и головы «Лицо»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
35+10,SPA - уход «Целебные травы»+Массаж с проработкой «Спорт-oil»,240,1,12800
43+17,Программы для похудения «Слим»+Relax массаж Стоун,150,1,9600
12+17+1,Relax массаж «Тай Оил»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
43+18+1,Программы для похудения «Слим»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
10+28,Массаж с проработкой «Спорт-oil»+Массаж в 4 руки «Тай Ойл в 4 руки»,120,1,11200
43+31+2,Программы для похудения «Слим»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
18+8+3,Программы для лица и головы «Лицо»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
44+17,Программы для похудения «Слим и тай ойл»+Relax массаж Стоун,180,1,10400
20+44+1,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10800
18+22+3,Программы для лица и головы «Лицо»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
SPA Норм 2,16000,12800,9600
43+44,Программы для похудения «Слим»+Программы для похудения «Слим и тай ойл»,150,1,10400
22+35,Программы для рук и ног «Руки»+SPA - уход «Целебные травы»,210,1,10800
18+2+5,Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,10800
34+22+1,SPA - уход «Мужской комплимент»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
35+18,SPA - уход «Целебные травы»+Программы для лица и головы «Лицо»,210,1,10800
32+44,SPA - уход «Принцесса сиама»+Программы для похудения «Слим и тай ойл»,180,1,11200
4+26,Массаж с проработкой «Восстанавливающий»+Массаж в 4 руки «Тай в 4 руки»,150,1,12000
33+1,SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
1+31+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Восстанавливающий»,180,1,10000
32+18+2,SPA - уход «Принцесса сиама»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
SPA Норм 2,16000,12800,9600
25+32,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Принцесса сиама»,150,1,12000
34+20+2,SPA - уход «Мужской комплимент»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
10+26,Массаж с проработкой «Спорт-oil»+Массаж в 4 руки «Тай в 4 руки»,150,1,12800
44+34,Программы для похудения «Слим и тай ойл»+SPA - уход «Мужской комплимент»,210,1,12000
20+35,Программы для лица и головы «Лицо и голова»+SPA - уход «Целебные травы»,210,1,10800
12+43+2,Relax массаж «Тай Оил»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
23+45,Программы для рук и ног «Ноги»+Программы для похудения «Талассотерапия»,150,1,10000
31+33,SPA - уход «Бархатное прикосновение»+SPA - уход «Королевская спа программа»,180,1,10000
1+19+5+6,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,11600
25+31,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Бархатное прикосновение»,120,1,10000
4+2+7,"Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,10800
17+45,Relax массаж Стоун+Программы для похудения «Талассотерапия»,210,1,12800
SPA Норм 2,16000,12800,9600
19+36,Программы для лица и головы «Голова»+SPA - уход «Обновление и тонус»,240,1,12800
20+14+1,Программы для лица и головы «Лицо и голова»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
12+16,Relax массаж «Тай Оил»+Relax массаж Тай Оил + травяные мешочки,180,1,10400
18+45,Программы для лица и головы «Лицо»+Программы для похудения «Талассотерапия»,150,1,10000
31+17+2,SPA - уход «Бархатное прикосновение»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
44+19+2,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
6+35,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Целебные травы»",210,1,10800
45+10,Программы для похудения «Талассотерапия»+Массаж с проработкой «Спорт-oil»,180,1,12000
6+36,"Массаж с проработкой «Спина, Шея, и Плечи»+SPA - уход «Обновление и тонус»",240,1,12800
20+6+3,"Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
SPA Норм 2,16000,12800,9600
44+18+2,Программы для похудения «Слим и тай ойл»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
45+9,Программы для похудения «Талассотерапия»+Массаж с проработкой «Тай + травяные мешочки»,210,1,12800
22+25+1,Программы для рук и ног «Руки»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,11600
20+33+2,Программы для лица и головы «Лицо и голова»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
22+8+3,Программы для рук и ног «Руки»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
25+33,Массаж в 4 руки «Тай в 4 руки»+SPA - уход «Королевская спа программа»,180,1,12800
4+14,Массаж с проработкой «Восстанавливающий»+Relax массаж «Тай Оил»,180,1,9600
28+17,Массаж в 4 руки «Тай Ойл в 4 руки»+Relax массаж Стоун,150,1,12000
12+19+3,Relax массаж «Тай Оил»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
10+32,Массаж с проработкой «Спорт-oil»+SPA - уход «Принцесса сиама»,150,1,9600
18+20+1+5,Программы для лица и головы «Лицо»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
SPA Норм 2,16000,12800,9600
43+46,Программы для похудения «Слим»+Программы для похудения «Имбирный коктейль»,180,1,12800
18+36,Программы для лица и головы «Лицо»+SPA - уход «Обновление и тонус»,240,1,12800
8+18+3,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
34+31,SPA - уход «Мужской комплимент»+SPA - уход «Бархатное прикосновение»,180,1,10000
31+34,SPA - уход «Бархатное прикосновение»+SPA - уход «Мужской комплимент»,180,1,10000
18+25+1,Программы для лица и головы «Лицо»+Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,11600
36,SPA - уход «Обновление и тонус»,210,1,10800
23+6+3+4,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",240,1,12800
20+23+3,Программы для лица и головы «Лицо и голова»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
8+22+3,Массаж с проработкой «Тай + травяные мешочки»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
31+35,SPA - уход «Бархатное прикосновение»+SPA - уход «Целебные травы»,240,1,12400
31+1+4,SPA - уход «Бархатное прикосновение»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,180,1,10000
45+18,Программы для похудения «Талассотерапия»+Программы для лица и головы «Лицо»,150,1,10000
SPA Норм 2,16000,12800,9600
28+44,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим и тай ойл»,150,1,12800
33+31,SPA - уход «Королевская спа программа»+SPA - уход «Бархатное прикосновение»,180,1,10000
36+22,SPA - уход «Обновление и тонус»+Программы для рук и ног «Руки»,240,1,12800
10+19+3,Массаж с проработкой «Спорт-oil»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
15+32,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Принцесса сиама»,180,1,10800
8+19+2,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
15+33,Relax массаж Тай Оил + травяные мешочки+SPA - уход «Королевская спа программа»,210,1,11600
23+33+1,Программы для рук и ног «Ноги»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
12+22+2,Relax массаж «Тай Оил»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
15+22+2,Relax массаж Тай Оил + травяные мешочки+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
22+36,Программы для рук и ног «Руки»+SPA - уход «Обновление и тонус»,240,1,12800
4+45,Массаж с проработкой «Восстанавливающий»+Программы для похудения «Талассотерапия»,180,1,11200
34+3,SPA - уход «Мужской комплимент»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
28+43,Массаж в 4 руки «Тай Ойл в 4 руки»+Программы для похудения «Слим»,120,1,12000
22+5+3,Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12000
SPA Норм 2,16000,12800,9600
19+14+2,Программы для лица и головы «Голова»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
8+35,Массаж с проработкой «Тай + травяные мешочки»+SPA - уход «Целебные травы»,240,1,12400
33+21,SPA - уход «Королевская спа программа»+Программы для лица и головы «Лицо и голова»,180,1,10000
15+19+3,Relax массаж Тай Оил + травяные мешочки+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
33+44,SPA - уход «Королевская спа программа»+Программы для похудения «Слим и тай ойл»,210,1,12000
46+22,Программы для похудения «Имбирный коктейль»+Программы для рук и ног «Руки»,150,1,10000
10+46,Массаж с проработкой «Спорт-oil»+Программы для похудения «Имбирный коктейль»,180,1,12000
45+17,Программы для похудения «Талассотерапия»+Relax массаж Стоун,210,1,12800
32+34,SPA - уход «Принцесса сиама»+SPA - уход «Мужской комплимент»,210,1,12000
35+8,SPA - уход «Целебные травы»+Массаж с проработкой «Тай + травяные мешочки»,240,1,12400
23+43+3,Программы для рук и ног «Ноги»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
33+22+2,SPA - уход «Королевская спа программа»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
SPA Норм 2,16000,12800,9600
43+21+2,Программы для похудения «Слим»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12800
43+7+1,"Программы для похудения «Слим»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,11200
1+35,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Целебные травы»,240,1,12000
18+23+1+5,Программы для лица и головы «Лицо»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
25+9,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Тай + травяные мешочки»,150,1,11200
17+19+1,Relax массаж Стоун+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,10000
6+2+4,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",180,1,9600
23+6+3,"Программы для рук и ног «Ноги»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
31+21+2,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
20+19+3+4,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
46+7,"Программы для похудения «Имбирный коктейль»+Массаж с проработкой «Спина, Шея, и Плечи»",180,1,11200
44+23+2,Программы для похудения «Слим и тай ойл»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
23+22+1+5,Программы для рук и ног «Ноги»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11600
44+9,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Тай + травяные мешочки»,180,1,10400
20+43+1,Программы для лица и головы «Лицо и голова»+Программы для похудения «Слим»+Массаж с проработкой «Традиционный Тайский (Тай)»,150,1,10000
SPA Норм 2,16000,12800,9600
4+24+1+7,"Массаж с проработкой «Восстанавливающий»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
10+44,Массаж с проработкой «Спорт-oil»+Программы для похудения «Слим и тай ойл»,150,1,9600
6+29,"Массаж с проработкой «Спина, Шея, и Плечи»+Массаж в 4 руки «Тай Ойл в 4 руки»",120,1,11600
44+4+1,Программы для похудения «Слим и тай ойл»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
23+46,Программы для рук и ног «Ноги»+Программы для похудения «Имбирный коктейль»,150,1,10000
8+1+5,Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,11200
20+4+2,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
10+45,Массаж с проработкой «Спорт-oil»+Программы для похудения «Талассотерапия»,180,1,12000
12+4+1+6,"Relax массаж «Тай Оил»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Спина, Шея, и Плечи»",210,1,12000
19+33+1,Программы для лица и головы «Голова»+SPA - уход «Королевская спа программа»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
4+33,Массаж с проработкой «Восстанавливающий»+SPA - уход «Королевская спа программа»,180,1,9600
SPA Норм 2,16000,12800,9600
25+10,Массаж в 4 руки «Тай в 4 руки»+Массаж с проработкой «Спорт-oil»,120,1,10400
1+4+6+8,"Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Тай + травяные мешочки»",210,1,12000
10+13+1,Массаж с проработкой «Спорт-oil»+Relax массаж «Тай Оил»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12000
1+14,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж «Тай Оил»,180,1,9600
4+10+3,Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,240,1,12800
17+7+1,"Relax массаж Стоун+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",210,1,11200
1+29,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж в 4 руки «Тай Ойл в 4 руки»,150,1,12800
31+18+3,SPA - уход «Бархатное прикосновение»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
33+43,SPA - уход «Королевская спа программа»+Программы для похудения «Слим»,180,1,11200
46+23,Программы для похудения «Имбирный коктейль»+Программы для рук и ног «Ноги»,150,1,10000
43+25,Программы для похудения «Слим»+Массаж в 4 руки «Тай в 4 руки»,120,1,11200
1+8+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Тай + травяные мешочки»+Массаж с проработкой «Восстанавливающий»,180,1,10000
18+6+3,"Программы для лица и головы «Лицо»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",180,1,9600
12+35,Relax массаж «Тай Оил»+SPA - уход «Целебные травы»,240,1,12400
1+34+4,Массаж с проработкой «Традиционный Тайский (Тай)»+SPA - уход «Мужской комплимент»+Массаж с проработкой «Восстанавливающий»,240,1,12800
SPA Норм 2,16000,12800,9600
35+19,SPA - уход «Целебные травы»+Программы для лица и головы «Голова»,210,1,10800
1+17+4,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Стоун+Массаж с проработкой «Восстанавливающий»,210,1,11200
35+20,SPA - уход «Целебные травы»+Программы для лица и головы «Лицо и голова»,210,1,10800
25+43,Массаж в 4 руки «Тай в 4 руки»+Программы для похудения «Слим»,120,1,11200
17+16,Relax массаж Стоун+Relax массаж Тай Оил + травяные мешочки,210,1,11600
17+34,Relax массаж Стоун+SPA - уход «Мужской комплимент»,210,1,11200
10+23+1+4,Массаж с проработкой «Спорт-oil»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12400
46+31,Программы для похудения «Имбирный коктейль»+SPA - уход «Бархатное прикосновение»,180,1,11600
43+22+3,Программы для похудения «Слим»+Программы для рук и ног «Руки»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,12400
23+3+4,Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,10800
22+18+3,Программы для рук и ног «Руки»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»,180,1,9600
1+18+5+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для лица и головы «Лицо»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
43+32,Программы для похудения «Слим»+SPA - уход «Принцесса сиама»,150,1,10400
20+3+4,Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,10800
25+21,Массаж в 4 руки «Тай в 4 руки»+Программы для лица и головы «Лицо и голова»,120,1,10000
SPA Норм 2,16000,12800,9600
1+16,Массаж с проработкой «Традиционный Тайский (Тай)»+Relax массаж Тай Оил + травяные мешочки,180,1,10000
33+7+1,"SPA - уход «Королевская спа программа»+Массаж с проработкой «Спина, Шея, и Плечи»+Массаж с проработкой «Традиционный Тайский (Тай)»",240,1,12800
6+46,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для похудения «Имбирный коктейль»",150,1,10000
45+24,Программы для похудения «Талассотерапия»+Программы для рук и ног «Ноги»,180,1,11200
6+23+1+5,"Массаж с проработкой «Спина, Шея, и Плечи»+Программы для рук и ног «Ноги»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»",210,1,11600
23+10+3,Программы для рук и ног «Ноги»+Массаж с проработкой «Спорт-oil»+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11600
33+14,SPA - уход «Королевская спа программа»+Relax массаж «Тай Оил»,240,1,12800
4+17+1,Массаж с проработкой «Восстанавливающий»+Relax массаж Стоун+Массаж с проработкой «Традиционный Тайский (Тай)»,210,1,11200
1+24+4+7,"Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Ноги»+Массаж с проработкой «Восстанавливающий»+Массаж с проработкой «Спина, Шея, и Плечи»",240,1,12800
1+22+5,Массаж с проработкой «Традиционный Тайский (Тай)»+Программы для рук и ног «Руки»+Массаж с проработкой «Восстанавливающий»,180,1,9600
SPA Норм 2,16000,12800,9600
19+46,Программы для лица и головы «Голова»+Программы для похудения «Имбирный коктейль»,150,1,10000
15+13,Relax массаж Тай Оил + травяные мешочки+Relax массаж «Тай Оил»,180,1,10000
8+20+1+4,Массаж с проработкой «Тай + травяные мешочки»+Программы для лица и головы «Лицо и голова»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,210,1,12000
20+18+2+5,Программы для лица и головы «Лицо и голова»+Программы для лица и головы «Лицо»+Массаж с проработкой «Традиционный Тайский (Тай)»+Массаж с проработкой «Восстанавливающий»,240,1,12800
45+6,"Программы для похудения «Талассотерапия»+Массаж с проработкой «Спина, Шея, и Плечи»",150,1,10000
